date,league,home_team,away_team,predicted,actual,correct,home_prob,draw_prob,away_prob,home_odds,draw_odds,away_odds
2026-01-14,Premiership,Hearts,St. Mirren,Home Win,Home Win,True,0.527,0.297,0.17600000000000002,1.8975332068311195,3.367003367003367,5.681818181818182
2026-01-14,Carabao Cup,Chelsea,Arsenal,Away Win,Away Win,True,0.284,0.271,0.445,3.5211267605633805,3.6900369003690034,2.247191011235955
2026-01-14,Copa Del Rey,Deportivo Alavés,Rayo Vallecano,Home Win,Home Win,True,0.555,0.261,0.185,1.8018018018018016,3.8314176245210727,5.405405405405405
2026-01-14,Copa Del Rey,Real Betis,Elche,Home Win,Home Win,True,0.602,0.22899999999999998,0.168,1.6611295681063123,4.366812227074236,5.952380952380952
2026-01-14,Copa Del Rey,Albacete,Real Madrid,Away Win,Home Win,False,0.297,0.19399999999999998,0.509,3.367003367003367,5.154639175257732,1.9646365422396856
2026-01-15,Serie A,Hellas Verona,Bologna,Away Win,Away Win,True,0.327,0.264,0.409,3.058103975535168,3.7878787878787876,2.444987775061125
2026-01-15,Bundesliga,FC Augsburg,FC Union Berlin,Home Win,Draw,False,0.527,0.27,0.203,1.8975332068311195,3.7037037037037033,4.926108374384236
2026-01-15,Serie A,Como,AC Milan,Home Win,Away Win,False,0.385,0.273,0.342,2.5974025974025974,3.663003663003663,2.923976608187134
2026-01-15,Copa Del Rey,Burgos,Valencia,Home Win,Away Win,False,0.604,0.243,0.153,1.6556291390728477,4.11522633744856,6.5359477124183005
2026-01-15,Copa Del Rey,Racing Santander,FC Barcelona,Away Win,Away Win,True,0.336,0.214,0.451,2.976190476190476,4.672897196261682,2.2172949002217295
2026-01-16,Ligue 1,Monaco,Lorient,Home Win,Away Win,False,0.58,0.21899999999999997,0.20199999999999999,1.7241379310344829,4.566210045662101,4.9504950495049505
2026-01-16,Bundesliga,Werder Bremen,Eintracht Frankfurt,Home Win,Draw,False,0.387,0.281,0.331,2.5839793281653747,3.558718861209964,3.021148036253776
2026-01-16,La Liga 2,Castellón,Leganés,Home Win,Home Win,True,0.535,0.29100000000000004,0.174,1.8691588785046729,3.4364261168384878,5.74712643678161
2026-01-16,Serie B,Sampdoria,Virtus Entella,Home Win,Draw,False,0.53,0.243,0.22699999999999998,1.8867924528301885,4.11522633744856,4.405286343612335
2026-01-16,Serie A,Pisa,Atalanta,Away Win,Draw,False,0.364,0.225,0.41100000000000003,2.7472527472527473,4.444444444444445,2.4330900243309
2026-01-16,Pro League,Club Brugge,La Louvière,Home Win,Away Win,False,0.5710000000000001,0.245,0.184,1.7513134851138352,4.081632653061225,5.434782608695652
2026-01-16,Championship,West Bromwich Albion,Middlesbrough,Home Win,Away Win,False,0.531,0.245,0.22399999999999998,1.8832391713747645,4.081632653061225,4.464285714285714
2026-01-16,Ligue 1,Paris Saint Germain,LOSC Lille,Home Win,Home Win,True,0.569,0.255,0.17600000000000002,1.7574692442882252,3.9215686274509802,5.681818181818182
2026-01-16,La Liga,Espanyol,Girona,Home Win,Away Win,False,0.585,0.242,0.17300000000000001,1.7094017094017095,4.132231404958678,5.780346820809248
2026-01-16,Liga Portugal,Sporting CP,Casa Pia,Home Win,Home Win,True,0.5770000000000001,0.225,0.198,1.7331022530329288,4.444444444444445,5.05050505050505
2026-01-17,Premier League,Manchester United,Manchester City,Home Win,Home Win,True,0.408,0.242,0.35100000000000003,2.450980392156863,4.132231404958678,2.849002849002849
2026-01-17,Championship,Coventry City,Leicester City,Home Win,Home Win,True,0.597,0.23800000000000002,0.166,1.6750418760469012,4.201680672268907,6.024096385542168
2026-01-17,Championship,Ipswich Town,Blackburn Rovers,Home Win,Home Win,True,0.415,0.293,0.292,2.4096385542168677,3.4129692832764507,3.4246575342465757
2026-01-17,Championship,Watford,Millwall,Home Win,Away Win,False,0.574,0.256,0.17,1.7421602787456447,3.90625,5.88235294117647
2026-01-17,La Liga,Real Madrid,Levante,Home Win,Home Win,True,0.703,0.15,0.147,1.4224751066856332,6.666666666666667,6.802721088435375
2026-01-17,La Liga 2,Ceuta,Real Valladolid,Home Win,Away Win,False,0.41,0.298,0.292,2.4390243902439024,3.3557046979865772,3.4246575342465757
2026-01-17,Serie A,Udinese,Inter,Away Win,Away Win,True,0.327,0.23600000000000002,0.43700000000000006,3.058103975535168,4.23728813559322,2.2883295194508007
2026-01-17,Super Lig,İstanbul Başakşehir,Fatih Karagümrük,Home Win,Home Win,True,0.5760000000000001,0.244,0.18100000000000002,1.736111111111111,4.098360655737705,5.524861878453038
2026-01-17,Serie B,Monza,Frosinone,Home Win,Draw,False,0.596,0.22399999999999998,0.18,1.6778523489932886,4.464285714285714,5.555555555555555
2026-01-17,Serie B,Avellino,Carrarese,Home Win,Away Win,False,0.568,0.253,0.179,1.7605633802816902,3.952569169960474,5.58659217877095
2026-01-17,Serie B,Calcio Padova,Mantova,Home Win,Away Win,False,0.467,0.285,0.248,2.141327623126338,3.5087719298245617,4.032258064516129
2026-01-17,Serie B,Venezia,Catanzaro,Home Win,Home Win,True,0.584,0.255,0.16,1.7123287671232879,3.9215686274509802,6.25
2026-01-17,Serie B,Empoli,Südtirol,Home Win,Away Win,False,0.45299999999999996,0.292,0.255,2.207505518763797,3.4246575342465757,3.9215686274509802
2026-01-17,Bundesliga,FC Köln,FSV Mainz 05,Home Win,Home Win,True,0.613,0.22699999999999998,0.159,1.6313213703099512,4.405286343612335,6.289308176100628
2026-01-17,Bundesliga,Borussia Dortmund,St. Pauli,Home Win,Home Win,True,0.754,0.133,0.113,1.3262599469496021,7.518796992481203,8.849557522123893
