date,correct,predicted,odds,return
2026-01-16,False,Home Win,1.7094017094017095,-10.0
2026-01-16,True,Home Win,1.7331022530329288,7.331022530329287
2026-01-17,True,Home Win,2.450980392156863,14.50980392156863
2026-01-17,True,Home Win,1.6750418760469012,6.750418760469012
2026-01-17,True,Home Win,2.4096385542168677,14.096385542168676
2026-01-17,False,Home Win,1.7421602787456447,-10.0
2026-01-17,True,Home Win,1.4224751066856332,4.2247510668563315
2026-01-17,False,Home Win,2.4390243902439024,-10.0
2026-01-17,True,Away Win,2.2883295194508007,12.883295194508007
2026-01-17,True,Home Win,1.736111111111111,7.361111111111109
2026-01-17,False,Home Win,1.6778523489932886,-10.0
2026-01-17,False,Home Win,1.7605633802816902,-10.0
2026-01-17,False,Home Win,2.141327623126338,-10.0
2026-01-17,True,Home Win,1.7123287671232879,7.1232876712328785
