home_thresh,draw_thresh,away_thresh,bets,bet_freq,bets_per_day,win_rate,roi,profit,home_bets,draw_bets,away_bets
0.55,0.4,0.6,29,14.499999999999998,1.437111111111111,72.41379310344827,18.862068965517242,547.0,28,0,1
0.55,0.4,0.65,29,14.499999999999998,1.437111111111111,72.41379310344827,18.862068965517242,547.0,28,0,1
0.55,0.4,0.7,28,14.000000000000002,1.3875555555555559,71.42857142857143,18.642857142857142,522.0,28,0,0
0.55,0.45,0.55,33,16.5,1.6353333333333335,69.6969696969697,12.727272727272727,420.0,28,0,5
0.55,0.45,0.6,29,14.499999999999998,1.437111111111111,72.41379310344827,18.862068965517242,547.0,28,0,1
0.55,0.45,0.65,29,14.499999999999998,1.437111111111111,72.41379310344827,18.862068965517242,547.0,28,0,1
0.55,0.45,0.7,28,14.000000000000002,1.3875555555555559,71.42857142857143,18.642857142857142,522.0,28,0,0
0.55,0.5,0.55,33,16.5,1.6353333333333335,69.6969696969697,12.727272727272727,420.0,28,0,5
0.55,0.5,0.6,29,14.499999999999998,1.437111111111111,72.41379310344827,18.862068965517242,547.0,28,0,1
0.55,0.5,0.65,29,14.499999999999998,1.437111111111111,72.41379310344827,18.862068965517242,547.0,28,0,1
0.55,0.5,0.7,28,14.000000000000002,1.3875555555555559,71.42857142857143,18.642857142857142,522.0,28,0,0
0.6,0.35,0.55,22,11.0,1.0902222222222222,54.54545454545454,-16.545454545454547,-364.0,11,6,5
0.6,0.35,0.6,18,9.0,0.892,55.55555555555556,-13.166666666666666,-237.0,11,6,1
0.6,0.35,0.65,18,9.0,0.892,55.55555555555556,-13.166666666666666,-237.0,11,6,1
0.6,0.35,0.7,17,8.5,0.8424444444444446,52.94117647058824,-15.411764705882353,-262.0,11,6,0
0.6,0.4,0.55,16,8.0,0.7928888888888889,68.75,-3.0625,-49.0,11,0,5
0.6,0.4,0.6,12,6.0,0.5946666666666667,75.0,6.5,78.0,11,0,1
0.6,0.4,0.65,12,6.0,0.5946666666666667,75.0,6.5,78.0,11,0,1
0.6,0.4,0.7,11,5.5,0.5451111111111111,72.72727272727273,4.818181818181818,53.0,11,0,0
0.6,0.45,0.55,16,8.0,0.7928888888888889,68.75,-3.0625,-49.0,11,0,5
0.6,0.45,0.6,12,6.0,0.5946666666666667,75.0,6.5,78.0,11,0,1
0.6,0.45,0.65,12,6.0,0.5946666666666667,75.0,6.5,78.0,11,0,1
0.6,0.45,0.7,11,5.5,0.5451111111111111,72.72727272727273,4.818181818181818,53.0,11,0,0
0.6,0.5,0.55,16,8.0,0.7928888888888889,68.75,-3.0625,-49.0,11,0,5
0.6,0.5,0.6,12,6.0,0.5946666666666667,75.0,6.5,78.0,11,0,1
0.6,0.5,0.65,12,6.0,0.5946666666666667,75.0,6.5,78.0,11,0,1
0.6,0.5,0.7,11,5.5,0.5451111111111111,72.72727272727273,4.818181818181818,53.0,11,0,0
0.65,0.35,0.55,15,7.5,0.7433333333333333,53.333333333333336,-19.400000000000002,-291.0,4,6,5
0.65,0.35,0.6,11,5.5,0.5451111111111111,54.54545454545454,-14.909090909090908,-164.0,4,6,1
0.65,0.35,0.65,11,5.5,0.5451111111111111,54.54545454545454,-14.909090909090908,-164.0,4,6,1
0.65,0.35,0.7,10,5.0,0.4955555555555556,50.0,-18.9,-189.0,4,6,0
0.65,0.4,0.55,9,4.5,0.446,77.77777777777779,2.666666666666667,24.0,4,0,5
0.65,0.4,0.6,5,2.5,0.2477777777777778,100.0,30.2,151.0,4,0,1
0.65,0.4,0.65,5,2.5,0.2477777777777778,100.0,30.2,151.0,4,0,1
0.65,0.4,0.7,4,2.0,0.19822222222222222,100.0,31.5,126.0,4,0,0
0.65,0.45,0.55,9,4.5,0.446,77.77777777777779,2.666666666666667,24.0,4,0,5
0.65,0.45,0.6,5,2.5,0.2477777777777778,100.0,30.2,151.0,4,0,1
0.65,0.45,0.65,5,2.5,0.2477777777777778,100.0,30.2,151.0,4,0,1
0.65,0.45,0.7,4,2.0,0.19822222222222222,100.0,31.5,126.0,4,0,0
0.65,0.5,0.55,9,4.5,0.446,77.77777777777779,2.666666666666667,24.0,4,0,5
