sidelined_id,fixture_id,participant_id,player_id,type_id,sideline_id
345482,10332796,13,,,78886.0
345449,10332796,13,,,77555.0
345472,10332796,13,,,35979.0
345413,10332797,8,,,2375.0
345407,10332797,8,,,78094.0
345448,10332798,9,,,35765.0
345440,10332798,9,,,60546.0
345468,10332798,20,,,3166.0
345462,10332798,20,,,3028.0
345478,10332798,20,,,17452.0
345432,10332798,9,,,60035.0
345456,10332798,20,,,2406.0
345452,10332798,9,,,7483.0
345404,10332799,25,,,2047.0
345410,10332799,25,,,68587.0
345415,10332799,6,,,59435.0
345438,10332799,6,,,24302.0
345422,10332799,6,,,2203.0
345419,10332799,6,,,31770.0
345431,10332799,6,,,60202.0
345402,10332800,1,,,8210.0
345409,10332800,29,,,57972.0
345399,10332800,1,,,75991.0
345412,10332800,29,,,21766.0
345395,10332800,1,,,18955.0
345400,10332801,52,,,2883.0
345430,10332802,18,,,379.0
345436,10332802,18,,,16611.0
345451,10332802,69,,,31304.0
345458,10332802,69,,,2469.0
345424,10332802,18,,,5353.0
345443,10332802,69,,,22514.0
345447,10332802,69,,,37082.0
345455,10332803,13,,,35979.0
345437,10332803,13,,,77555.0
345484,10332803,1,,,75991.0
345445,10332803,13,,,1650.0
345461,10332803,13,,,78886.0
345423,10332803,13,,,276.0
345428,10332803,13,,,75736.0
345474,10332803,1,,,371.0
345450,10332803,13,,,8237.0
345469,10332803,1,,,190.0
345491,10332803,1,,,8210.0
345385,10332804,51,,,2544.0
345389,10332804,51,,,2565.0
345396,10332804,51,,,199.0
345393,10332804,51,,,3235.0
345376,10332804,251,,,11627.0
345380,10332804,251,,,7455.0
345375,10332805,11,,,9646.0
345356,10332805,9,,,21907.0
345342,10332805,9,,,60035.0
345348,10332805,9,,,60546.0
345369,10332805,11,,,33655.0
345363,10332805,9,,,7483.0
345379,10332805,11,,,59543.0
345421,10332806,19,,,9794.0
345446,10332806,19,,,21625.0
345414,10332806,19,,,82005.0
345427,10332806,19,,,57292.0
345405,10332806,20,,,17452.0
345434,10332806,19,,,815.0
345442,10332806,19,,,36705.0
345417,10332806,19,,,23292.0
345433,10332807,78,,,36514.0
345426,10332807,78,,,13063.0
345435,10332808,8,,,78094.0
345429,10332808,8,,,2789.0
345441,10332808,8,,,2375.0
345398,10332808,6,,,31770.0
345403,10332808,6,,,2673.0
345392,10332808,6,,,59435.0
345408,10332808,6,,,60202.0
345416,10332808,6,,,24302.0
345346,10332809,25,,,68587.0
345365,10332809,14,,,17817.0
345338,10332809,25,,,2047.0
345357,10332809,14,,,2615.0
345353,10332809,14,,,2729.0
345325,10332810,27,,,25380.0
345418,10332811,13,,,1650.0
345425,10332811,13,,,35979.0
345391,10332811,19,,,815.0
345397,10332811,19,,,36705.0
345406,10332811,13,,,75736.0
345373,10332811,19,,,82005.0
345401,10332811,13,,,276.0
345420,10332811,13,,,8237.0
345366,10332811,19,,,7201.0
345382,10332811,19,,,9794.0
345387,10332811,19,,,57292.0
345411,10332811,13,,,77555.0
345359,10332812,78,,,36514.0
345351,10332812,78,,,13063.0
345374,10332812,6,,,31770.0
345386,10332812,6,,,24302.0
345367,10332812,6,,,59435.0
345381,10332812,6,,,60202.0
345335,10332813,27,,,25380.0
345344,10332813,52,,,7824.0
345337,10332813,52,,,2883.0
345360,10332814,69,,,2469.0
345383,10332814,9,,,21907.0
345349,10332814,69,,,31304.0
