season_id,team_id,position,points,played
25659,93,20,13,8
16264,503,1,82,100
16264,68,2,69,84
16264,277,3,66,81
16264,683,4,65,66
16264,3321,5,63,61
16264,2726,6,52,53
16264,510,7,49,48
16264,3543,8,48,48
16264,366,9,45,59
16264,3317,10,41,48
16264,1079,11,41,41
16264,67,12,39,38
16264,794,13,37,44
16264,3320,14,36,7
16264,90,15,36,17
16264,82,16,31,42
16264,1092,17,30,36
16264,2642,18,20,37
17361,503,1,78,99
17361,277,2,65,60
17361,68,3,64,75
17361,510,4,61,61
17361,366,5,60,69
17361,3321,6,52,53
17361,1079,7,50,50
17361,683,8,49,21
17361,3543,9,45,52
17361,3319,10,45,26
17361,2726,11,43,52
17361,794,12,39,39
17361,90,13,36,36
17361,3317,14,35,11
17361,2927,15,35,2
17361,3320,16,33,34
17361,82,17,31,36
17361,67,18,16,25
18444,503,1,77,97
18444,68,2,69,85
18444,3321,3,64,19
18444,277,4,58,72
18444,1079,5,57,34
18444,3543,6,55,58
18444,3320,7,52,52
18444,794,8,46,34
18444,2726,9,46,58
18444,366,10,42,45
18444,999,11,42,15
18444,510,12,42,43
18444,683,13,42,52
18444,90,14,38,17
18444,3319,15,33,-18
18444,3317,16,33,37
18444,2927,17,28,27
18444,3431,18,18,34
19744,503,1,71,38
19744,68,2,71,83
19744,277,3,66,64
19744,1079,4,62,51
19744,3543,5,59,51
19744,3321,6,50,57
19744,366,7,50,58
19744,510,8,49,57
19744,794,9,46,34
19744,683,10,43,52
19744,3320,11,42,49
19744,2726,12,36,48
19744,82,13,36,51
19744,999,14,35,40
19744,90,15,34,42
19744,3319,16,33,7
19744,67,17,31,35
19744,3317,18,29,42
21795,3321,1,90,45
21795,3319,2,73,78
21795,503,3,72,23
21795,277,4,65,37
21795,68,5,63,3
21795,366,6,47,6
21795,2726,7,46,14
21795,2831,8,42,42
21795,82,9,42,54
21795,3543,10,42,17
21795,90,11,39,50
21795,510,12,37,41
21795,794,13,35,7
21795,683,14,34,34
21795,1079,15,33,9
21795,999,16,33,4
21795,3320,17,27,28
21795,482,18,17,1
23744,503,1,82,99
23744,3321,2,69,72
23744,366,3,60,26
23744,68,4,57,3
23744,3543,5,55,32
23744,794,6,52,6
23744,277,7,51,23
23744,82,8,51,33
23744,3319,9,50,64
23744,683,10,45,45
23744,510,11,43,6
23744,90,12,43,10
23744,1079,13,40,-16
23744,353,14,32,9
23744,2726,15,32,36
23744,2831,16,29,29
23744,3611,17,25,4
23744,999,18,25,17
25646,503,1,50,1
25646,68,2,39,23
25646,2726,3,33,1
25646,3319,4,33,9
25646,277,5,32,33
25646,3321,6,29,34
25646,366,7,27,3
25646,3543,8,24,16
25646,1079,9,24,9
25646,3320,10,20,2
25646,683,11,20,9
25646,510,12,19,27
25646,82,13,18,5
25646,2708,14,17,17
25646,90,15,16,12
25646,2831,16,13,4
25646,794,17,12,18
25646,353,18,12,1
16415,625,1,83,76
16415,2930,2,82,11
16415,708,3,78,98
16415,43,4,78,79
16415,37,5,70,77
16415,113,6,66,63
16415,597,7,62,19
16415,2714,8,51,19
16415,1123,9,49,47
16415,109,10,49,51
16415,398,11,49,24
16415,8513,12,47,52
16415,346,13,45,37
16415,585,14,45,45
16415,522,15,42,48
16415,613,16,40,46
16415,102,17,39,47
16415,7790,18,35,52
16415,10729,19,25,35
16415,394,20,20,27
17488,2930,1,91,89
17488,113,2,79,2
17488,625,3,78,6
17488,708,4,78,90
17488,597,5,77,86
17488,43,6,68,61
17488,37,7,63,13
17488,2714,8,62,64
17488,522,9,52,22
17488,1123,10,43,43
17488,102,11,42,47
17488,8513,12,41,51
17488,346,13,40,42
17488,109,14,40,47
17488,345,15,39,52
17488,585,16,37,43
17488,613,17,37,-19
17488,563,18,33,40
17488,89,19,23,15
17488,398,20,20,39
18576,113,1,86,69
18576,2930,2,84,84
18576,597,3,79,74
18576,625,4,70,57
18576,43,5,64,77
18576,37,6,63,59
18576,109,7,62,59
18576,708,8,59,17
18576,1123,9,53,65
18576,613,10,50,6
18576,2714,11,50,64
18576,346,12,47,61
18576,8513,13,46,44
18576,397,14,41,50
18576,522,15,36,46
18576,345,16,36,41
18576,7743,17,31,33
18576,585,18,30,34
18576,102,19,28,27
18576,267,20,27,34
19806,597,1,90,0
19806,43,2,74,0
19806,2930,3,72,0
19806,113,4,70,23
19806,708,5,64,0
19806,37,6,63,0
19806,625,7,62,0
19806,109,8,56,0
19806,8513,9,54,0
19806,613,10,53,0
19806,1628,11,52,0
19806,346,12,46,19
19806,2714,13,45,0
19806,397,14,43,0
19806,7743,15,42,15
19806,7790,16,36,3
19806,345,17,31,0
19806,1123,18,31,0
19806,10722,19,27,0
19806,522,20,19,0
21818,2930,1,94,22
21818,113,2,75,5
21818,625,3,71,54
21818,708,4,69,4
21818,8513,5,68,12
21818,37,6,63,19
21818,43,7,61,5
21818,109,8,60,24
21818,613,9,53,13
21818,597,10,53,19
21818,102,11,49,45
21818,1628,12,45,24
21818,1123,13,38,26
21818,7790,14,38,6
21818,346,15,37,19
21818,585,16,36,8
21818,397,17,36,29
21818,4070,18,35,19
21818,2714,19,30,23
21818,7743,20,17,38
23746,597,1,82,37
23746,2930,2,81,5
23746,708,3,74,9
23746,625,4,70,15
23746,37,5,69,2
23746,109,6,65,8
23746,43,7,65,65
23746,113,8,63,61
23746,8513,9,62,8
23746,268,10,49,49
23746,613,11,44,10
23746,346,12,44,19
23746,102,13,43,7
23746,1123,14,37,30
23746,585,15,36,14
23746,398,16,36,-14
23746,7790,17,34,16
23746,397,18,31,19
23746,267,19,29,38
23746,1628,20,18,28
25533,2930,1,49,0
25533,113,2,43,43
25533,597,3,43,9
25533,625,4,39,32
25533,37,5,39,0
25533,268,6,34,12
25533,708,7,32,9
25533,8513,8,30,12
25533,43,9,28,7
25533,346,10,26,22
25533,398,11,23,22
25533,613,12,23,21
25533,2714,13,23,3
25533,585,14,22,22
25533,10722,15,22,9
25533,102,16,20,5
25533,7790,17,17,13
25533,109,18,17,17
25533,1072,19,14,7
25533,1123,20,13,17
16043,591,1,68,75
16043,44,2,56,41
16043,598,3,50,38
16043,690,4,49,35
16043,1028,5,41,26
16043,450,6,41,41
16043,79,7,40,42
16043,581,8,40,35
16043,6789,9,40,44
16043,776,10,39,28
16043,686,11,38,0
16043,59,12,37,28
16043,3562,13,37,40
16043,3513,14,34,27
16043,266,15,34,34
16043,6842,16,30,3
16043,108,17,30,29
16043,6967,18,27,29
16043,840,19,23,31
16043,289,20,13,22
17160,690,1,83,64
17160,591,2,82,38
17160,6789,3,78,76
17160,79,4,76,39
17160,44,5,60,54
17160,598,6,58,52
17160,271,7,57,55
17160,581,8,54,60
17160,450,9,52,50
17160,3513,10,47,44
17160,108,11,46,25
17160,3562,12,45,42
17160,776,13,44,40
17160,1028,14,42,42
17160,686,15,42,58
17160,9257,16,42,50
17160,266,17,41,33
17160,59,18,40,47
17160,6967,19,35,40
17160,6842,20,21,25
18441,591,1,86,90
18441,44,2,71,63
18441,6789,3,69,19
18441,450,4,66,16
18441,598,5,66,38
18441,686,6,63,60
18441,271,7,62,62
18441,79,8,61,38
18441,59,9,55,15
18441,690,10,55,11
18441,266,11,48,19
18441,1028,12,46,43
18441,581,13,43,5
18441,776,14,41,10
18441,7047,15,38,7
18441,9257,16,36,38
18441,6898,17,36,38
18441,108,18,32,42
